Collection_code,N_samples,id
iNaturalist,0,AL_Birmingham_D3_D_62
ebird,2,AL_Birmingham_D3_D_63
other,0,AL_Birmingham_D3_D_63
iNaturalist,0,AL_Birmingham_D3_D_63
ebird,731,AL_Birmingham_D4_D_64
iNaturalist,1,AL_Birmingham_D4_D_64
other,13,AL_Birmingham_D4_D_64
ebird,242,AL_Birmingham_D5_D_65
iNaturalist,13,AL_Birmingham_D5_D_65
other,0,AL_Birmingham_D5_D_65
ebird,12,AL_Birmingham_D5_D_66
iNaturalist,1,AL_Birmingham_D5_D_66
other,0,AL_Birmingham_D5_D_66
ebird,52,AL_Birmingham_D6_D_67
iNaturalist,2,AL_Birmingham_D6_D_67
other,2,AL_Birmingham_D6_D_67
ebird,104,AL_Birmingham_D7_D_68
iNaturalist,2,AL_Birmingham_D7_D_68
other,0,AL_Birmingham_D7_D_68
ebird,1603,AL_Birmingham_D8_D_69
iNaturalist,4,AL_Birmingham_D8_D_69
other,0,AL_Birmingham_D8_D_69
other,0,AL_Birmingham_D9_D_70
iNaturalist,0,AL_Birmingham_D9_D_70
ebird,0,AL_Birmingham_D9_D_70
other,0,AL_Mobile_A6_A_76
iNaturalist,0,AL_Mobile_A6_A_76
ebird,0,AL_Mobile_A6_A_76
other,0,AL_Mobile_B2_B_78
iNaturalist,0,AL_Mobile_B2_B_78
ebird,0,AL_Mobile_B2_B_78
ebird,1,AL_Mobile_B3_B_79
other,0,AL_Mobile_B3_B_79
iNaturalist,0,AL_Mobile_B3_B_79
ebird,16,AL_Mobile_B4_B_80
other,0,AL_Mobile_B4_B_80
iNaturalist,0,AL_Mobile_B4_B_80
other,0,AL_Mobile_B5_B_81
iNaturalist,0,AL_Mobile_B5_B_81
ebird,0,AL_Mobile_B5_B_81
iNaturalist,1,AL_Mobile_B6_B_82
other,0,AL_Mobile_B6_B_82
ebird,0,AL_Mobile_B6_B_82
iNaturalist,1,AL_Mobile_B7_B_84
other,0,AL_Mobile_B7_B_84
ebird,0,AL_Mobile_B7_B_84
iNaturalist,1,AL_Mobile_B8_B_85
other,0,AL_Mobile_B8_B_85
ebird,0,AL_Mobile_B8_B_85
ebird,234,AL_Mobile_C1_C_86
other,0,AL_Mobile_C1_C_86
iNaturalist,0,AL_Mobile_C1_C_86
ebird,53,AL_Mobile_C2_C_87
other,0,AL_Mobile_C2_C_87
iNaturalist,0,AL_Mobile_C2_C_87
ebird,202,AL_Mobile_C3_C_88
iNaturalist,1,AL_Mobile_C3_C_88
other,0,AL_Mobile_C3_C_88
ebird,13,AL_Mobile_C4_C_89
other,0,AL_Mobile_C4_C_89
iNaturalist,0,AL_Mobile_C4_C_89
other,0,AL_Mobile_C5_C_90
iNaturalist,0,AL_Mobile_C5_C_90
ebird,0,AL_Mobile_C5_C_90
ebird,30,AL_Mobile_C6_C_91
other,0,AL_Mobile_C6_C_91
iNaturalist,0,AL_Mobile_C6_C_91
ebird,4,AL_Mobile_C7_C_92
other,0,AL_Mobile_C7_C_92
iNaturalist,0,AL_Mobile_C7_C_92
ebird,4,AL_Mobile_C7_C_93
other,1,AL_Mobile_C7_C_93
iNaturalist,0,AL_Mobile_C7_C_93
iNaturalist,1,AL_Mobile_C7_C_94
other,0,AL_Mobile_C7_C_94
ebird,0,AL_Mobile_C7_C_94
ebird,5,AL_Mobile_D1_D_95
other,0,AL_Mobile_D1_D_95
iNaturalist,0,AL_Mobile_D1_D_95
ebird,4,AL_Mobile_D2_D_96
other,0,AL_Mobile_D2_D_96
iNaturalist,0,AL_Mobile_D2_D_96
ebird,2,AL_Mobile_D2_D_97
iNaturalist,1,AL_Mobile_D2_D_97
other,0,AL_Mobile_D2_D_97
ebird,4,AL_Mobile_D3_D_100
other,0,AL_Mobile_D3_D_100
iNaturalist,0,AL_Mobile_D3_D_100
ebird,11,AL_Mobile_D4_D_101
other,6,AL_Mobile_D4_D_101
iNaturalist,0,AL_Mobile_D4_D_101
ebird,951,AL_Mobile_D5_D_102
other,4,AL_Mobile_D5_D_102
iNaturalist,0,AL_Mobile_D5_D_102
ebird,7,AL_Mobile_D6_D_104
other,0,AL_Mobile_D6_D_104
iNaturalist,0,AL_Mobile_D6_D_104
ebird,29,AL_Mobile_D6_D_105
other,8,AL_Mobile_D6_D_105
iNaturalist,0,AL_Mobile_D6_D_105
other,0,AL_Mobile_D6_D_107
iNaturalist,0,AL_Mobile_D6_D_107
ebird,0,AL_Mobile_D6_D_107
ebird,434,AL_Mobile_D6_D_109
other,1,AL_Mobile_D6_D_109
iNaturalist,0,AL_Mobile_D6_D_109
iNaturalist,1,AL_Mobile_NA_B_112
other,0,AL_Mobile_NA_B_112
ebird,0,AL_Mobile_NA_B_112
iNaturalist,1,AL_Mobile_NA_B_116
other,0,AL_Mobile_NA_B_116
ebird,0,AL_Mobile_NA_B_116
other,0,AL_Mobile_NA_B_117
iNaturalist,0,AL_Mobile_NA_B_117
ebird,0,AL_Mobile_NA_B_117
other,0,AL_Mobile_NA_C_114
iNaturalist,0,AL_Mobile_NA_C_114
ebird,0,AL_Mobile_NA_C_114
ebird,359,AL_Montgomery_A1_A_118
iNaturalist,8,AL_Montgomery_A1_A_118
other,0,AL_Montgomery_A1_A_118
ebird,355,AL_Montgomery_A2_A_119
other,0,AL_Montgomery_A2_A_119
iNaturalist,0,AL_Montgomery_A2_A_119
other,0,AL_Montgomery_B1_B_122
iNaturalist,0,AL_Montgomery_B1_B_122
ebird,0,AL_Montgomery_B1_B_122
ebird,13,AL_Montgomery_B2_B_123
other,0,AL_Montgomery_B2_B_123
iNaturalist,0,AL_Montgomery_B2_B_123
ebird,31,AL_Montgomery_B3_B_124
other,0,AL_Montgomery_B3_B_124
iNaturalist,0,AL_Montgomery_B3_B_124
ebird,21,AL_Montgomery_B3_B_125
other,0,AL_Montgomery_B3_B_125
iNaturalist,0,AL_Montgomery_B3_B_125
ebird,408,AL_Montgomery_C1_C_126
other,0,AL_Montgomery_C1_C_126
iNaturalist,0,AL_Montgomery_C1_C_126
ebird,61,AL_Montgomery_C2_C_127
other,0,AL_Montgomery_C2_C_127
iNaturalist,0,AL_Montgomery_C2_C_127
ebird,29,AL_Montgomery_C3_C_128
other,0,AL_Montgomery_C3_C_128
iNaturalist,0,AL_Montgomery_C3_C_128
iNaturalist,1,AL_Montgomery_C4_C_130
other,0,AL_Montgomery_C4_C_130
ebird,0,AL_Montgomery_C4_C_130
ebird,19,AL_Montgomery_C6_C_132
other,0,AL_Montgomery_C6_C_132
iNaturalist,0,AL_Montgomery_C6_C_132
ebird,44,AL_Montgomery_D1_D_133
other,0,AL_Montgomery_D1_D_133
iNaturalist,0,AL_Montgomery_D1_D_133
ebird,37,AL_Montgomery_D2_D_134
other,0,AL_Montgomery_D2_D_134
iNaturalist,0,AL_Montgomery_D2_D_134
iNaturalist,11,AL_Montgomery_D3_D_135
other,1,AL_Montgomery_D3_D_135
ebird,0,AL_Montgomery_D3_D_135
ebird,11900,AL_Montgomery_D4_D_136
iNaturalist,1,AL_Montgomery_D4_D_136
other,33,AL_Montgomery_D4_D_136
ebird,730,AL_Montgomery_D5_D_137
other,0,AL_Montgomery_D5_D_137
iNaturalist,0,AL_Montgomery_D5_D_137
ebird,112,AL_Montgomery_D6_D_138
other,4,AL_Montgomery_D6_D_138
iNaturalist,0,AL_Montgomery_D6_D_138
ebird,2414,AL_Montgomery_D7_D_140
other,0,AL_Montgomery_D7_D_140
iNaturalist,0,AL_Montgomery_D7_D_140
ebird,994,AR_Little Rock_A1_A_141
iNaturalist,2,AR_Little Rock_A1_A_141
other,0,AR_Little Rock_A1_A_141
ebird,8931,AR_Little Rock_A2_A_142
iNaturalist,3,AR_Little Rock_A2_A_142
other,0,AR_Little Rock_A2_A_142
ebird,8,AR_Little Rock_A3_A_143
other,0,AR_Little Rock_A3_A_143
iNaturalist,0,AR_Little Rock_A3_A_143
ebird,25,AR_Little Rock_A4_A_144
other,0,AR_Little Rock_A4_A_144
iNaturalist,0,AR_Little Rock_A4_A_144
ebird,663,AR_Little Rock_A5_A_145
iNaturalist,2,AR_Little Rock_A5_A_145
other,0,AR_Little Rock_A5_A_145
ebird,27,AR_Little Rock_B1_B_146
other,0,AR_Little Rock_B1_B_146
iNaturalist,0,AR_Little Rock_B1_B_146
ebird,999,AR_Little Rock_B10_B_147
other,0,AR_Little Rock_B10_B_147
iNaturalist,0,AR_Little Rock_B10_B_147
ebird,31,AR_Little Rock_B11_B_148
other,0,AR_Little Rock_B11_B_148
iNaturalist,0,AR_Little Rock_B11_B_148
ebird,882,AR_Little Rock_B2_B_150
other,0,AR_Little Rock_B2_B_150
iNaturalist,0,AR_Little Rock_B2_B_150
ebird,32565,AR_Little Rock_B3_B_151
other,0,AR_Little Rock_B3_B_151
iNaturalist,0,AR_Little Rock_B3_B_151
ebird,11,AR_Little Rock_B4_B_152
other,21,AR_Little Rock_B4_B_152
iNaturalist,0,AR_Little Rock_B4_B_152
ebird,20,AR_Little Rock_B5_B_153
other,0,AR_Little Rock_B5_B_153
iNaturalist,0,AR_Little Rock_B5_B_153
ebird,83,AR_Little Rock_B6_B_154
iNaturalist,3,AR_Little Rock_B6_B_154
other,1,AR_Little Rock_B6_B_154
ebird,207,AR_Little Rock_B7_B_155
other,0,AR_Little Rock_B7_B_155
iNaturalist,0,AR_Little Rock_B7_B_155
ebird,3,AR_Little Rock_B8_B_156
other,0,AR_Little Rock_B8_B_156
iNaturalist,0,AR_Little Rock_B8_B_156
iNaturalist,1,AR_Little Rock_B9_B_157
other,0,AR_Little Rock_B9_B_157
ebird,0,AR_Little Rock_B9_B_157
ebird,697,AR_Little Rock_C1_C_158
iNaturalist,1,AR_Little Rock_C1_C_158
other,0,AR_Little Rock_C1_C_158
other,0,AR_Little Rock_C10_C_159
iNaturalist,0,AR_Little Rock_C10_C_159
ebird,0,AR_Little Rock_C10_C_159
ebird,5784,AR_Little Rock_C2_C_160
iNaturalist,1,AR_Little Rock_C2_C_160
other,0,AR_Little Rock_C2_C_160
ebird,258,AR_Little Rock_C3_C_161
other,0,AR_Little Rock_C3_C_161
iNaturalist,0,AR_Little Rock_C3_C_161
ebird,38,AR_Little Rock_C4_C_162
other,0,AR_Little Rock_C4_C_162
iNaturalist,0,AR_Little Rock_C4_C_162
other,0,AR_Little Rock_C5_C_163
iNaturalist,0,AR_Little Rock_C5_C_163
ebird,0,AR_Little Rock_C5_C_163
ebird,224,AR_Little Rock_C6_C_164
other,0,AR_Little Rock_C6_C_164
iNaturalist,0,AR_Little Rock_C6_C_164
other,0,AR_Little Rock_C7_C_165
iNaturalist,0,AR_Little Rock_C7_C_165
ebird,0,AR_Little Rock_C7_C_165
ebird,41,AR_Little Rock_D1_D_168
other,0,AR_Little Rock_D1_D_168
iNaturalist,0,AR_Little Rock_D1_D_168
ebird,153,AR_Little Rock_D2_D_169
iNaturalist,2,AR_Little Rock_D2_D_169
other,0,AR_Little Rock_D2_D_169
ebird,169,AR_Little Rock_D3_D_170
other,0,AR_Little Rock_D3_D_170
iNaturalist,0,AR_Little Rock_D3_D_170
ebird,76,AR_Little Rock_D4_D_171
other,0,AR_Little Rock_D4_D_171
iNaturalist,0,AR_Little Rock_D4_D_171
ebird,2,AR_Little Rock_D6_D_174
other,0,AR_Little Rock_D6_D_174
iNaturalist,0,AR_Little Rock_D6_D_174
ebird,13,AR_Little Rock_D7_D_175
other,0,AR_Little Rock_D7_D_175
iNaturalist,0,AR_Little Rock_D7_D_175
ebird,61,AR_Little Rock_D8_D_176
other,0,AR_Little Rock_D8_D_176
iNaturalist,0,AR_Little Rock_D8_D_176
ebird,121,AZ_Phoenix_A1_A_177
iNaturalist,8,AZ_Phoenix_A1_A_177
other,0,AZ_Phoenix_A1_A_177
ebird,1028,AZ_Phoenix_A2_A_178
other,0,AZ_Phoenix_A2_A_178
iNaturalist,0,AZ_Phoenix_A2_A_178
ebird,135,AZ_Phoenix_A3_A_179
iNaturalist,8,AZ_Phoenix_A3_A_179
other,14,AZ_Phoenix_A3_A_179
ebird,1,AZ_Phoenix_A4_A_180
other,0,AZ_Phoenix_A4_A_180
iNaturalist,0,AZ_Phoenix_A4_A_180
ebird,266,AZ_Phoenix_A5_A_181
other,0,AZ_Phoenix_A5_A_181
iNaturalist,0,AZ_Phoenix_A5_A_181
ebird,136,AZ_Phoenix_B1_B_182
iNaturalist,6,AZ_Phoenix_B1_B_182
other,0,AZ_Phoenix_B1_B_182
ebird,51,AZ_Phoenix_B2_B_183
other,0,AZ_Phoenix_B2_B_183
iNaturalist,0,AZ_Phoenix_B2_B_183
ebird,91,AZ_Phoenix_B3_B_184
iNaturalist,2,AZ_Phoenix_B3_B_184
other,0,AZ_Phoenix_B3_B_184
ebird,915,AZ_Phoenix_B4_B_185
other,0,AZ_Phoenix_B4_B_185
iNaturalist,0,AZ_Phoenix_B4_B_185
ebird,69,AZ_Phoenix_B5_B_186
other,1,AZ_Phoenix_B5_B_186
iNaturalist,0,AZ_Phoenix_B5_B_186
ebird,102,AZ_Phoenix_B6_B_187
iNaturalist,4,AZ_Phoenix_B6_B_187
other,0,AZ_Phoenix_B6_B_187
ebird,354,AZ_Phoenix_B7_B_188
other,0,AZ_Phoenix_B7_B_188
iNaturalist,0,AZ_Phoenix_B7_B_188
ebird,67,AZ_Phoenix_B8_B_189
other,0,AZ_Phoenix_B8_B_189
iNaturalist,0,AZ_Phoenix_B8_B_189
ebird,387,AZ_Phoenix_C1_C_190
iNaturalist,5,AZ_Phoenix_C1_C_190
other,0,AZ_Phoenix_C1_C_190
ebird,584,AZ_Phoenix_C2_C_191
iNaturalist,15,AZ_Phoenix_C2_C_191
other,15,AZ_Phoenix_C2_C_191
ebird,424,AZ_Phoenix_C3_C_192
iNaturalist,3,AZ_Phoenix_C3_C_192
other,0,AZ_Phoenix_C3_C_192
ebird,1130,AZ_Phoenix_C4_C_193
iNaturalist,1,AZ_Phoenix_C4_C_193
other,0,AZ_Phoenix_C4_C_193
ebird,2,AZ_Phoenix_D1_D_194
iNaturalist,1,AZ_Phoenix_D1_D_194
other,0,AZ_Phoenix_D1_D_194
ebird,350,AZ_Phoenix_D2_D_195
iNaturalist,2,AZ_Phoenix_D2_D_195
other,0,AZ_Phoenix_D2_D_195
ebird,6,AZ_Phoenix_D3_D_196
other,0,AZ_Phoenix_D3_D_196
iNaturalist,0,AZ_Phoenix_D3_D_196
ebird,95,AZ_Phoenix_D4_D_197
other,0,AZ_Phoenix_D4_D_197
iNaturalist,0,AZ_Phoenix_D4_D_197
ebird,184,AZ_Phoenix_D5_D_198
other,7,AZ_Phoenix_D5_D_198
iNaturalist,0,AZ_Phoenix_D5_D_198
ebird,33,AZ_Phoenix_D6_D_199
iNaturalist,2,AZ_Phoenix_D6_D_199
other,3,AZ_Phoenix_D6_D_199
iNaturalist,3,AZ_Phoenix_D7_D_200
other,0,AZ_Phoenix_D7_D_200
ebird,0,AZ_Phoenix_D7_D_200
ebird,126,CA_Fresno_A1_A_202
other,0,CA_Fresno_A1_A_202
iNaturalist,0,CA_Fresno_A1_A_202
ebird,14,CA_Fresno_A2_A_203
other,0,CA_Fresno_A2_A_203
iNaturalist,0,CA_Fresno_A2_A_203
ebird,27,CA_Fresno_B1_B_204
other,0,CA_Fresno_B1_B_204
iNaturalist,0,CA_Fresno_B1_B_204
ebird,520,CA_Fresno_B2_B_205
iNaturalist,2,CA_Fresno_B2_B_205
other,1,CA_Fresno_B2_B_205
other,0,CA_Fresno_B3_B_207
iNaturalist,0,CA_Fresno_B3_B_207
ebird,0,CA_Fresno_B3_B_207
ebird,1074,CA_Fresno_B4_B_210
iNaturalist,1,CA_Fresno_B4_B_210
other,0,CA_Fresno_B4_B_210
iNaturalist,1,CA_Fresno_B5_B_211
other,0,CA_Fresno_B5_B_211
ebird,0,CA_Fresno_B5_B_211
ebird,230,CA_Fresno_C2_C_213
iNaturalist,1,CA_Fresno_C2_C_213
other,0,CA_Fresno_C2_C_213
ebird,583,CA_Fresno_C3_C_214
iNaturalist,3,CA_Fresno_C3_C_214
other,0,CA_Fresno_C3_C_214
ebird,766,CA_Fresno_C4_C_215
other,0,CA_Fresno_C4_C_215
iNaturalist,0,CA_Fresno_C4_C_215
ebird,607,CA_Fresno_C4_C_216
iNaturalist,11,CA_Fresno_C4_C_216
other,1,CA_Fresno_C4_C_216
other,0,CA_Fresno_C5_C_217
iNaturalist,0,CA_Fresno_C5_C_217
ebird,0,CA_Fresno_C5_C_217
ebird,5,CA_Fresno_C5_C_218
other,0,CA_Fresno_C5_C_218
iNaturalist,0,CA_Fresno_C5_C_218
ebird,6,CA_Fresno_C6_C_219
other,0,CA_Fresno_C6_C_219
iNaturalist,0,CA_Fresno_C6_C_219
ebird,7,CA_Fresno_C7_C_220
other,0,CA_Fresno_C7_C_220
iNaturalist,0,CA_Fresno_C7_C_220
iNaturalist,1,CA_Fresno_C8_C_221
other,0,CA_Fresno_C8_C_221
ebird,0,CA_Fresno_C8_C_221
ebird,14,CA_Fresno_C9_C_222
other,0,CA_Fresno_C9_C_222
iNaturalist,0,CA_Fresno_C9_C_222
ebird,6,CA_Fresno_D1_D_224
iNaturalist,1,CA_Fresno_D1_D_224
other,0,CA_Fresno_D1_D_224
ebird,5,CA_Fresno_D2_D_225
iNaturalist,1,CA_Fresno_D2_D_225
other,0,CA_Fresno_D2_D_225
ebird,5,CA_Fresno_D3_D_227
iNaturalist,1,CA_Fresno_D3_D_227
other,0,CA_Fresno_D3_D_227
ebird,19,CA_Fresno_D4_D_228
other,0,CA_Fresno_D4_D_228
iNaturalist,0,CA_Fresno_D4_D_228
other,0,CA_Fresno_D5_D_229
iNaturalist,0,CA_Fresno_D5_D_229
ebird,0,CA_Fresno_D5_D_229
ebird,58,CA_Fresno_D6_D_230
other,14,CA_Fresno_D6_D_230
iNaturalist,0,CA_Fresno_D6_D_230
other,0,CA_Fresno_D7_D_231
iNaturalist,0,CA_Fresno_D7_D_231
ebird,0,CA_Fresno_D7_D_231
ebird,3,CA_Fresno_D8_D_232
other,0,CA_Fresno_D8_D_232
iNaturalist,0,CA_Fresno_D8_D_232
ebird,990,CA_Los Angeles_A1_A_233
iNaturalist,38,CA_Los Angeles_A1_A_233
other,3,CA_Los Angeles_A1_A_233
ebird,3741,CA_Los Angeles_A10_A_234
iNaturalist,24,CA_Los Angeles_A10_A_234
other,280,CA_Los Angeles_A10_A_234
ebird,283,CA_Los Angeles_A11_A_235
iNaturalist,41,CA_Los Angeles_A11_A_235
other,9,CA_Los Angeles_A11_A_235
ebird,1129,CA_Los Angeles_A12_A_236
iNaturalist,195,CA_Los Angeles_A12_A_236
other,0,CA_Los Angeles_A12_A_236
ebird,9510,CA_Los Angeles_A13_A_237
iNaturalist,85,CA_Los Angeles_A13_A_237
other,1,CA_Los Angeles_A13_A_237
ebird,343,CA_Los Angeles_A14_A_239
iNaturalist,10,CA_Los Angeles_A14_A_239
other,4,CA_Los Angeles_A14_A_239
ebird,943,CA_Los Angeles_A15_A_240
iNaturalist,31,CA_Los Angeles_A15_A_240
other,3,CA_Los Angeles_A15_A_240
ebird,842,CA_Los Angeles_A16_A_241
iNaturalist,19,CA_Los Angeles_A16_A_241
other,4,CA_Los Angeles_A16_A_241
ebird,61,CA_Los Angeles_A17_A_243
iNaturalist,5,CA_Los Angeles_A17_A_243
other,4,CA_Los Angeles_A17_A_243
ebird,1188,CA_Los Angeles_A18_A_244
iNaturalist,20,CA_Los Angeles_A18_A_244
other,2,CA_Los Angeles_A18_A_244
ebird,5,CA_Los Angeles_A19_A_245
iNaturalist,2,CA_Los Angeles_A19_A_245
other,0,CA_Los Angeles_A19_A_245
ebird,644,CA_Los Angeles_A2_A_246
iNaturalist,10,CA_Los Angeles_A2_A_246
other,0,CA_Los Angeles_A2_A_246
ebird,1092,CA_Los Angeles_A20_A_247
iNaturalist,3,CA_Los Angeles_A20_A_247
other,0,CA_Los Angeles_A20_A_247
ebird,64070,CA_Los Angeles_A21_A_248
iNaturalist,301,CA_Los Angeles_A21_A_248
other,412,CA_Los Angeles_A21_A_248
ebird,4,CA_Los Angeles_A22_A_249
iNaturalist,5,CA_Los Angeles_A22_A_249
other,0,CA_Los Angeles_A22_A_249
ebird,15,CA_Los Angeles_A23_A_250
other,0,CA_Los Angeles_A23_A_250
iNaturalist,0,CA_Los Angeles_A23_A_250
ebird,125,CA_Los Angeles_A25_A_252
iNaturalist,5,CA_Los Angeles_A25_A_252
other,0,CA_Los Angeles_A25_A_252
ebird,91,CA_Los Angeles_A26_A_253
iNaturalist,8,CA_Los Angeles_A26_A_253
other,0,CA_Los Angeles_A26_A_253
ebird,38,CA_Los Angeles_A27_A_254
iNaturalist,3,CA_Los Angeles_A27_A_254
other,0,CA_Los Angeles_A27_A_254
ebird,65,CA_Los Angeles_A28_A_255
iNaturalist,4,CA_Los Angeles_A28_A_255
other,0,CA_Los Angeles_A28_A_255
ebird,67,CA_Los Angeles_A29_A_256
iNaturalist,164,CA_Los Angeles_A29_A_256
other,0,CA_Los Angeles_A29_A_256
ebird,54,CA_Los Angeles_A3_A_257
iNaturalist,14,CA_Los Angeles_A3_A_257
other,0,CA_Los Angeles_A3_A_257
ebird,7508,CA_Los Angeles_A30_A_258
iNaturalist,40,CA_Los Angeles_A30_A_258
other,23,CA_Los Angeles_A30_A_258
ebird,875,CA_Los Angeles_A31_A_259
